"especies"
"Oecomys rutilus"
"Oecomys superans"
"Oecomys trinitatis"
"Phaenomys ferrugineus"
"Phyllomys blainvillii"
"Phyllomys brasiliensis"
"Phyllomys dasythrix"
"Phyllomys kerri"
"Phyllomys lamarum"
"Phyllomys lundi"
"Phyllomys mantiqueirensis"
"Phyllomys medius"
"Phyllomys nigrispinus"
"Phyllomys pattoni"
"Phyllomys sulinus"
"Phyllomys thomasi"
"Phyllomys unicolor"
"Rhipidomys cariri"
"Rhipidomys emiliae"
"Rhipidomys gardneri"
"Rhipidomys ipukensis"
"Rhipidomys itoan"
"Rhipidomys leucodactylus"
"Rhipidomys macconnelli"
"Rhipidomys macrurus"
"Rhipidomys mastacalis"
"Rhipidomys nitela"
"Rhipidomys tribei"
"Rhipidomys wetzeli"
"Toromys grandis"
"Wiedomys cerradensis"
"Wilfredomys oenax"
"Ametrida centurio"
"Artibeus obscurus"
"Carollia benkeithi"
"Carollia brevicauda"
"Centronycteris maximiliani"
"Chiroderma doriae"
"Chiroderma trinitatum"
"Chiroderma villosum"
"Chiroderma vizottoi"
"Chrotopterus auritus"
"Cormura brevirostris"
"Cynomops abrasus"
"Cynomops greenhalli"
"Cynomops milleri"
"Cynomops paranus"
"Cynomops planirostris"
"Cyttarops alecto"
"Desmodus rotundus"
"Diaemus youngii"
"Diclidurus albus"
"Diclidurus ingens"
"Diclidurus isabella"
"Diclidurus scutatus"
"Diphylla ecaudata"
"Eptesicus brasiliensis"
"Eptesicus chiriquinus"
"Eptesicus diminutus"
"Eptesicus furinalis"
"Eptesicus taddeii"
"Eumops auripendulus"
"Eumops bonariensis"
"Eumops dabbenei"
"Eumops delticus"
"Eumops glaucinus"
"Eumops hansae"
"Eumops maurus"
"Eumops patagonicus"
"Eumops perotis"
"Eumops trumbulli"
"Furipterus horrens"
"Glyphonycteris behnii"
"Glyphonycteris daviesi"
"Glyphonycteris sylvestris"
"Histiotus alienus"
"Histiotus velatus"
"Lasiurus blossevillii"
"Lasiurus castaneus"
"Lasiurus cinereus"
"Lasiurus ebenus"
"Lasiurus ega"
"Lasiurus egregius"
"Lasiurus salinae"
"Lonchorhina aurita"
"Lonchorhina inusitata"
"Lophostoma brasiliense"
"Lophostoma carrikeri"
"Lophostoma schulzi"
"Macrophyllum macrophyllum"
"Micronycteris brosseti"
"Micronycteris hirsuta"
"Micronycteris megalotis"
"Micronycteris microtis"
"Micronycteris minuta"
"Micronycteris sanborni"
"Micronycteris schmidtorum"
"Micronycteris yatesi"
"Mimon bennettii"
"Molossops mattogrossensis"
"Molossops neglectus"
"Molossops temminckii"
"Molossus aztecus"
"Molossus coibensis"
"Molossus currentium"
"Molossus molossus"
"Molossus pretiosus"
"Molossus rufus"
"Myotis albescens"
"Myotis dinellii"
"Myotis izecksohni"
"Myotis lavali"
"Myotis levis"
"Myotis riparius"
"Myotis ruber"
"Myotis simus"
"Natalus espiritosantensis"
"Neonycteris pusilla"
"Noctilio albiventris"
"Noctilio leporinus"
"Nyctinomops aurispinosus"
"Nyctinomops laticaudatus"
"Nyctinomops macrotis"
"Peropteryx kappleri"
"Peropteryx leucoptera"
"Peropteryx macrotis"
"Peropteryx pallidoptera"
"Phylloderma stenops"
"Platyrrhinus brachycephalus"
"Platyrrhinus fusciventris"
"Platyrrhinus incarum"
"Platyrrhinus infuscus"
"Platyrrhinus recifinus"
"Promops centralis"
"Promops nasutus"
"Pteronotus gymnonotus"
"Pteronotus personatus"
"Pteronotus rubiginosus"
"Pygoderma bilabiatum"
"Rhinophylla fischerae"
"Rhinophylla pumilio"
"Rhogeessa hussoni"
"Rhogeessa io"
"Rhynchonycteris naso"
"Saccopteryx bilineata"
"Saccopteryx canescens"
"Saccopteryx gymnura"
"Saccopteryx leptura"
"Sphaeronycteris toxophyllum"
"Sturnira magna"
"Sturnira tildae"
"Tadarida brasiliensis"
"Thyroptera devivoi"
"Thyroptera discifera"
"Thyroptera lavali"
"Thyroptera tricolor"
"Thyroptera wynneae"
"Tonatia bidens"
"Tonatia saurophila"
"Trachops cirrhosus"
"Trinycteris nicefori"
"Vampyressa pusilla"
"Vampyressa thyone"
"Vampyriscus bidens"
"Vampyriscus brocki"
"Vampyrum spectrum"
