order,family,species,synonyms,common_names,Phytogeographic_domains,countries,realm,redlistCategory,yearPublished_IUCN,habitats_categories,populationTrend,density_n_km2_Soria_et_al_2021,Endemic_BR,Restricted_Range,dispersal_km,home_range,adult_body_length_mm,Weight_min_g,Weight_max_g,Weight_mean_g,diet_invert,diet_vert_endoterm,diet_vert_ectoterm,diet_vfish,diet_scavenger,diet_fruit,diet_nect,diet_seed,diet_plant_other,diet_gumivore,foraging_stratum,Potential_to_provide_services,cultural_service_charismatic_species,Ref_cultural_service,ecotourism,Ref_ecotourism,carrion_control,carrion_control_low_potential,Ref_carrion_control,pollination,pollination_low_potential,Ref_pollination,top_down_regulation,top_down_regulation_low_potential,Ref_top_down_regulation,seed_dispersal,seed_dispersal_low_potential,Ref_seed_dispersal,pest_and_disease_control,pest_and_disease_control_low_potential,Ref_pest_and_disease_control,nutrient_transporting_horizontal,nutrient_transporting_horizontal,nutrient_transporting_vertical,Ref_nutrient_transporting_vertical,nutrient_transporting_horizontal_and_vertical,nutrient_transporting_horizontal_and_vertical_low_potential,ecosystem_engineering,ecosystem_engineering_low_potential,Ref_ecosystem_engineering,rodent_control,rodent_control_low_potential,Ref_rodent_control,disease_sentinelling,disease_sentinelling_low_potential,Ref_disease_sentinelling,Provide_at_least_one_service,Number_of_services_provided
DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops parvidens,NA,NA,Am,"Brazil, French Guiana, Guyana, Suriname, Venezuela, Bolivarian Republic of",Neotropical,Least Concern,2021,Forest - Subtropical/Tropical Moist Lowland,Unknown,14,0,0,0.1,NA,102,21,31,26,50,0,0,0,0,50,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,1,2
DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops paulensis,NA,NA,MA,Brazil,Neotropical,Least Concern,2021,Forest - Subtropical/Tropical Moist Montane,Unknown,NA,1,0,0.2,NA,132,16,70,43,20,0,0,0,0,70,0,0,10,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Bello et al. 2017),0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,1,2
RODENTIA,CRICETIDAE,Oligoryzomys chacoensis,NA,NA,"Ce, Pt","Argentina, Paraguay, Bolivia, Plurinational States of, Brazil",Neotropical,Least Concern,2016,"Shrubland - Subtropical/Tropical Moist, Shrubland - Subtropical/Tropical Dry, Wetlands (inland), Grassland - Subtropical/Tropical Dry",Stable,NA,0,0,0.1,NA,167,31,31,31,30,0,0,0,0,30,0,40,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys delticola,Oryzomys delticola,Delta Pygmy Rice Rat,NA,"Brazil, Argentina, Uruguay",Neotropical,Least Concern,2016,"Shrubland - Temperate, Grassland - Temperate",Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys eliurus,Oryzomys utiaritensis,NA,NA,Brazil,Neotropical,Least Concern,2016,"Grassland - Subtropical/Tropical Dry, Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Shrubland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist, Wetlands (inland), Forest - Subtropical/Tropical Moist Lowland",Decreasing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys flavescens,NA,Yellow Pygmy Rice Rat,"Ma, Ce, Pp","Uruguay, Paraguay, Brazil, Argentina",Neotropical,Least Concern,2016,"Shrubland - Subtropical/Tropical Moist, Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Wetlands (inland), Grassland - Temperate, Grassland - Subtropical/Tropical Dry",Stable,NA,0,0,0.1,NA,158,20,21,21,30,0,0,0,0,30,0,40,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Winck et al. 2022),1,1
RODENTIA,CRICETIDAE,Oligoryzomys fornesi,NA,Fornes’ Colilargo,NA,"Brazil, Argentina, Paraguay",Neotropical,Least Concern,2016,"Savanna - Dry, Grassland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist",Decreasing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys fulvescens,NA,NA,NA,"Ecuador, Guyana, Belize, Venezuela, Bolivarian Republic of, Colombia, Mexico, Panama, Guatemala, French Guiana, Suriname, Nicaragua, El Salvador, Peru, Costa Rica, Honduras, Brazil",Neotropical,Least Concern,2016,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry",Stable,NA,NA,NA,NA,NA,NA,20,60,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys microtis,NA,NA,Am,"Peru, Brazil, Paraguay, Bolivia, Plurinational States of",Neotropical,Least Concern,2016,"Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest, Forest - Subtropical/Tropical Moist Lowland",Stable,NA,0,0,0.1,NA,156,20,20,20,30,0,0,0,0,30,0,40,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys moojeni,NA,NA,Ce,Brazil,Neotropical,Data Deficient,2019,"Savanna - Dry, Forest - Subtropical/Tropical Moist Lowland",Unknown,NA,1,0,0.1,NA,NA,17,17,17,20,0,0,0,0,40,0,0,40,0,scansorial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Oligoryzomys nigripes,"Oligoryzomys eliurus, Oligoryzomys delticola",Black-footed Pygmy Rice Rat,"MA, Ce, Ca, Pt, Pp","Brazil, Paraguay, Uruguay, Argentina",Neotropical,Least Concern,2016,"Shrubland - Subtropical/Tropical Moist, Shrubland - Subtropical/Tropical Dry, Savanna - Dry, Forest - Temperate, Grassland - Subtropical/Tropical Dry",Stable,NA,0,0,0.1,NA,120,20,37,29,30,0,0,0,0,30,0,40,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Oligoryzomys rupestris,NA,NA,Ce,Brazil,Neotropical,Data Deficient,2019,"Savanna - Dry, Shrubland - Subtropical/Tropical High Altitude, Grassland - Subtropical/Tropical High Altitude",Unknown,NA,1,1,0.1,NA,NA,14,14,14,20,0,0,0,0,40,0,0,40,0,scansorial,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Oligoryzomys stramineus,NA,NA,"Ce, Ca",Brazil,Neotropical,Least Concern,2017,"Shrubland - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland, Savanna - Dry, Grassland - Subtropical/Tropical Dry",Unknown,NA,1,0,0.1,NA,111,27,27,27,20,0,0,0,0,40,0,40,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
DIDELPHIMORPHIA,DIDELPHIDAE,Philander andersoni,NA,Anderson's Four-eyed Opossum,Am,"Bolivia, Plurinational States of, Brazil, Colombia, Ecuador, Peru, Venezuela, Bolivarian Republic of",Neotropical,Least Concern,2021,Forest - Subtropical/Tropical Moist Lowland,Stable,NA,0,0,0.6,NA,256,225,425,325,30,5,5,0,0,10,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
DIDELPHIMORPHIA,DIDELPHIDAE,Philander frenatus,Philander frenata,Southeastern Four-eyed Opossum,"MA, Ce","Argentina, Paraguay, Brazil",Neotropical,Least Concern,2016,Forest - Subtropical/Tropical Moist Lowland,Unknown,NA,0,0,0.7,NA,284,220,680,450,60,5,5,0,0,30,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Bello et al. 2017),1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
DIDELPHIMORPHIA,DIDELPHIDAE,Philander mcilhennyi,NA,Mcilhenny's Four-eyed Opossum,Am,"Brazil, Peru",Neotropical,Least Concern,2021,Forest - Subtropical/Tropical Moist Lowland,Unknown,NA,0,0,0.6,NA,288,400,400,400,60,5,5,0,0,30,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
DIDELPHIMORPHIA,DIDELPHIDAE,Philander opossum,NA,Gray Four-eyed Opossum,"Am, Ce, Pt","Belize, Peru, Mexico, Guyana, Bolivia, Plurinational States of, Suriname, Venezuela, Bolivarian Republic of, Costa Rica, El Salvador, Colombia, Guatemala, Brazil, Panama, Ecuador, Honduras, Nicaragua, French Guiana, Argentina, Paraguay",Neotropical,Least Concern,2016,"Artificial/Terrestrial - Rural Gardens, Forest - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Moist Montane, Shrubland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist",Stable,96,0,0,0.7,0,284,280,700,490,30,5,5,0,0,10,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Rhagomys rufescens,NA,Brazilian Arboreal Mouse,MA,Brazil,Neotropical,Vulnerable,2019,Forest - Subtropical/Tropical Moist Lowland,Decreasing,NA,1,0,0.1,NA,94,15,15,15,20,0,0,0,0,10,0,40,30,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys karimii,NA,Karimi's Fat-tailed Mouse Opossum,"Ce, Ca",Brazil,Neotropical,Vulnerable,2021,"Savanna - Dry, Savanna - Moist, Forest - Subtropical/Tropical Dry",Decreasing,NA,1,0,1.1,NA,95,16,43,30,80,0,5,0,5,5,0,5,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,2
DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys macrurus,Thylamys macrura,Paraguayan Fat-tailed Mouse Opossum,"Ce, Pt","Paraguay, Brazil",Neotropical,Near Threatened,2015,"Savanna - Dry, Shrubland - Subtropical/Tropical Dry, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist, Savanna - Moist",Decreasing,NA,0,0,1.3,NA,127,30,55,43,80,5,5,0,0,10,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
DIDELPHIMORPHIA,DIDELPHIDAE,Thylamys velutinus,NA,Dwarf Fat-tailed Mouse Opossum,Ce,Brazil,Neotropical,Near Threatened,2021,"Forest, Savanna - Dry, Shrubland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Moist, Grassland - Subtropical/Tropical Dry",Decreasing,55,1,0,0.1,0,50,13,36,25,80,5,5,0,0,10,0,0,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Wiedomys pyrrhorhinos,NA,Red-nosed Mouse,Ca,Brazil,Neotropical,Least Concern,2017,"Shrubland - Subtropical/Tropical Dry, Savanna - Dry, Grassland - Subtropical/Tropical Dry",Unknown,NA,1,0,0.2,NA,128,40,40,40,50,0,0,0,0,0,0,50,0,0,scansorial,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Notiomys edwardsii,NA,NA,NA,"Brazil, Argentina",Neotropical,Least Concern,2016,"Shrubland - Temperate, Grassland - Temperate, Rocky areas (eg. inland cliffs, mountain peaks)",Stable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
ARTIODACTYL,TAYASSUIDAE,Pecari tajacu,Pecari maximus,Collared Peccary,"Am, MA, Ce, Ca, Pt, Pp","Trinidad and Tobago, Paraguay, Panama, Colombia, Peru, Bolivia, Plurinational States of, Costa Rica, Nicaragua, Guatemala, United States, Argentina, Mexico, French Guiana, Honduras, Brazil, Ecuador, Guyana, Belize, Suriname, Venezuela, Bolivarian Republic of, El Salvador",Nearctic|Neotropical,Least Concern,2011,"Artificial/Terrestrial - Plantations, Forest - Subtropical/Tropical Swamp, Shrubland - Mediterranean-type Shrubby Vegetation, Artificial/Terrestrial - Pastureland, Forest - Subtropical/Tropical Moist Montane, Savanna - Moist, Savanna - Dry, Desert - Temperate, Shrubland - Subtropical/Tropical Moist, Shrubland - Subtropical/Tropical Dry, Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Grassland - Subtropical/Tropical Dry, Desert - Hot, Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level, Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical High Altitude",Stable,6,0,0,5.6,1.4,910,17000,35000,26000,0,0,10,0,0,10,0,0,80,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Bello et al. 2017),0,0,Expert knowledge,1,Expert knowledge,1,Expert knowledge,1,1,1,1,(Beck et al. 2010),0,0,Expert knowledge,1,1,(Nava and Cullen 2003),1,4
ARTIODACTYL,TAYASSUIDAE,Tayassu pecari,Sus pecari,White-lipped Peccary,"Am, MA, Ce, Ca, Pt, Pp","Venezuela, Bolivarian Republic of, Suriname, Peru, Paraguay, Guyana, French Guiana, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Argentina, Bolivia, Plurinational States of, Brazil, Colombia, Ecuador",Neotropical,Vulnerable,2013,"Forest - Subtropical/Tropical Moist Lowland, Forest - Subtropical/Tropical Dry, Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Grassland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical High Altitude, Shrubland - Subtropical/Tropical Moist, Shrubland - Subtropical/Tropical Dry, Savanna - Moist, Savanna - Dry, Forest - Subtropical/Tropical Moist Montane, Forest - Subtropical/Tropical Swamp, Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level",Decreasing,14,0,0,7.1,41,1055,25000,45000,35000,10,5,5,0,0,30,0,30,20,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Bello et al. 2017),0,0,Expert knowledge,1,Expert knowledge,1,Expert knowledge,1,1,1,1,(Beck et al. 2010; Keuroghlian and Eaton 2009) ,0,0,Expert knowledge,1,1,(Nava and Cullen 2003),1,4
RODENTIA,CRICETIDAE,Abrawayaomys ruschii,NA,Ruschi's Rat,MA,"Argentina, Brazil",Neotropical,Least Concern,2016,Forest - Subtropical/Tropical Moist Montane,Unknown,NA,0,0,0.2,NA,NA,55,63,59,10,0,0,0,0,20,0,40,30,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
RODENTIA,CRICETIDAE,Akodon azarae,NA,Azara's Grass Mouse,Pp,"Argentina, Brazil, Uruguay, Paraguay",Neotropical,Least Concern,2016,"Forest - Subtropical/Tropical Moist Lowland, Shrubland - Temperate, Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)",Stable,NA,0,0,0.1,NA,140,24,24,24,80,0,0,0,0,0,0,0,20,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,1,1,(Winck et al. 2022),1,2
RODENTIA,CRICETIDAE,Akodon cursor,NA,Cursor Grass Mouse,"MA, Ce, Ca","Argentina, Brazil",Neotropical,Least Concern,2016,Forest - Subtropical/Tropical Moist Lowland,Unknown,NA,1,0,0.2,NA,140,30,70,50,80,0,0,0,0,0,0,0,20,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Akodon lindberghi,NA,Lindbergh's Grass Mouse,"MA, Ce",Brazil,Neotropical,Data Deficient,2019,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Unknown,NA,1,0,0.1,NA,NA,18,18,18,80,0,0,0,0,0,0,0,20,0,ground_level,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Akodon mystax,NA,Caparaó Akodont,MA,Brazil,Neotropical,Data Deficient,2019,"Grassland - Subtropical/Tropical High Altitude, Shrubland - Subtropical/Tropical High Altitude, Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands, Forest",Unknown,NA,1,1,0.1,NA,118,16,25,21,70,0,0,0,0,0,0,0,30,0,ground_level,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Akodon paranaensis,NA,Paraná Akodont,"MA, Ce","Argentina, Brazil",Neotropical,Least Concern,2017,"Forest - Temperate, Forest - Subtropical/Tropical Dry",Unknown,NA,0,0,0.1,NA,118,20,50,35,70,0,0,0,0,0,0,0,30,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,(Bello et al. 2017),1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Akodon reigi,NA,Reig’s Akodont,Pp,"Uruguay, Brazil",Neotropical,Least Concern,2017,"Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks, Forest - Subtropical/Tropical Moist Lowland",Stable,NA,0,0,0.1,NA,118,40,40,40,70,0,0,0,0,0,0,0,30,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Akodon sanctipaulensis,NA,Sao Paulo Grass Mouse,MA,Brazil,Neotropical,Data Deficient,2019,"Shrubland - Subtropical/Tropical Moist, Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Forest - Subtropical/Tropical Moist Montane",Unknown,NA,1,1,0.1,NA,96,20,20,20,80,0,0,0,0,0,0,0,20,0,ground_level,0,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Akodon serrensis,NA,Serrado Do Mar Grass Mouse,NA,Brazil,Neotropical,Least Concern,2016,Forest - Subtropical/Tropical Moist Montane,Unknown,NA,NA,NA,NA,NA,NA,27,45,36,70,0,0,0,0,0,0,0,30,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,1,1
CARNIVORA,CANIDAE,Atelocynus microtis,NA,Short-eared Dog,Am,"Colombia, Peru, Bolivia, Plurinational States of, Ecuador, Brazil",Neotropical,Near Threatened,2011,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands, Forest - Subtropical/Tropical Swamp, Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls), Forest - Subtropical/Tropical Moist Lowland, Savanna - Dry",Decreasing,NA,0,0,3.7,NA,916,7750,7750,7750,0,80,0,0,0,0,0,0,20,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,1,1,Expert knowledge,0,0,Expert knowledge,1,1
RODENTIA,CRICETIDAE,Calomys callosus,NA,Large Vesper Mouse,"Ce, Pa","Argentina, Brazil, Bolivia, Plurinational States of, Paraguay",Neotropical,Least Concern,2016,"Grassland - Subtropical/Tropical Seasonally Wet/Flooded, Artificial/Terrestrial - Arable Land, Shrubland - Subtropical/Tropical Moist, Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest, Grassland - Subtropical/Tropical Dry, Shrubland - Subtropical/Tropical Dry, Artificial/Terrestrial - Rural Gardens, Artificial/Terrestrial - Pastureland",Stable,NA,0,0,0.2,NA,NA,15,46,31,0,0,0,0,0,0,0,0,100,0,ground_level,1,0,Expert knowledge,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,Expert knowledge,0,Expert knowledge,0,0,0,0,Expert knowledge,0,0,Expert knowledge,0,0,Expert knowledge,0,0
