species;body__mass
Cynomops milleri;12.16
Cynomops paranus;12.16
Cynomops planirostris;12.84
Cyttarops alecto;5.3
Dactylomys boliviensis;689.39
Dactylomys dactylinus;649.98
Dasyprocta azarae;3.412
Dasyprocta croconota;2500
Dasyprocta fuliginosa;3500
Dasyprocta iacki;3050
Dasyprocta leporina;2.893
Dasyprocta prymnolopha;2900
Dasyprocta variegata;4100
Dasypus hybridus;1500
Dasypus kappleri;9.926
Dasypus novemcinctus;3949
Dasypus septemcinctus;1500.82
Delomys collinus;67.5
Delomys dorsalis;67.5
Delomys sublineatus;89.99
Deltamys kempi;26.4
Dermanura anderseni;6.91
Dermanura cinerea;12.7
Dermanura glauca;12.505
Dermanura gnoma;12.31
Dermanura phaeotis;11.69
Desmodus rotundus;33.18
Diaemus youngii;36.6
Diclidurus albus;18.5
Diclidurus ingens;12.3
Diclidurus isabella;12.61
Diclidurus scutatus;13.62
Didelphis albiventris;1030.47
Didelphis aurita;1.149
Didelphis imperfecta;1030.47
Didelphis marsupialis;1.149
Dinomys branickii;12500
Diphylla ecaudata;28.11
Dryadonycteris capixaba;5
Drymoreomys albimaculatus;64
Echimys chrysurus;624.995
Echimys vieirai;509.8
Eira barbara;4134.99
Eptesicus brasiliensis;9.2
Eptesicus chiriquinus;9.2
Eptesicus diminutus;5.99
Eptesicus furinalis;7.7
Eptesicus taddeii;13
Eumops auripendulus;28.49
Eumops bonariensis;12.22
Eumops dabbenei;58.5
Eumops delticus;12.22
Eumops glaucinus;36.4
Eumops hansae;15.47
Eumops maurus;20.66
Eumops patagonicus;12.22
Eumops perotis;56.5
Eumops trumbulli;56.5
Euphractus sexcinctus;4850
Euryoryzomys emmonsae;22.65
Euryoryzomys lamia;60.5
Euryoryzomys macconnelli;66.49
Euryoryzomys nitidus;51.63
Euryoryzomys russatus;60.5
Euryzygomatomys spinosus;187.49
Furipterus horrens;3.15
Galea flavidens;450
Galea spixii;360.61
Galictis cuja;1000
Galictis vittata;2325
Gardnerycteris crenulatum;13.91
Glironia venusta;140
Glossophaga commissarisi;9.3
Glossophaga longirostris;10.9
Glossophaga soricina;10.25
Glyphonycteris behnii;14.53
Glyphonycteris daviesi;18.61
Glyphonycteris sylvestris;8.91
Gracilinanus agilis;21.5
Gracilinanus emiliae;10
Gracilinanus microtarsus;24.5
Graomys griseoflavus;68.32
Herpailurus yagouaroundi;7000
Histiotus alienus;10.42
Histiotus velatus;11.26
Holochilus brasiliensis;155
Holochilus sciureus;120.42
Hydrochoerus hydrochaeris;51.572
Hyladelphys kalinowskii;15.5
Hylaeamys laticeps;50.825
Hylaeamys megacephalus;50.825
Hylaeamys oniscus;60.5
Hylaeamys perenensis;50.825
Hylaeamys yunganus;60.5
Isothrix bistriata;444.99
Isothrix negrensis;444.99
Isothrix pagurus;210
Isothrix sinnamariensis;291.73
Juliomys pictipes;22.9
Juliomys rimofrons;19.8
Juscelinomys candango;97.29
Kannabateomys amblyonyx;529.995
Kerodon acrobata;1305.2
Kerodon rupestris;875.5
Kunsia tomentosus;115.6
Lagothrix lagothricha;6263.69
Lampronycteris brachyotis;10.39
Lasiurus blossevillii;12.33
Lasiurus castaneus;12.51
Lasiurus cinereus;26.03
Lasiurus ebenus;14
Lasiurus ega;12.2
Lasiurus egregius;17.41
Lasiurus salinae;12.33
Leontocebus cruzlimai;393.99
Leontocebus fuscicollis;393.99
Saguinus melanoleucus;393.99
Leontocebus fuscus;393.99
Leontocebus nigricollis;450
Leontocebus weddelli;393.99
Leontopithecus caissara;629.255
Leontopithecus chrysomelas;582.66
Leontopithecus chrysopygus;654.5
Leontopithecus rosalia;623.51
Leopardus colocolo;2950
Leopardus geoffroyi;4000
Leopardus guttulus;2250
Leopardus pardalis;10500
Leopardus tigrinus;2250
Leopardus wiedii;3600
Lichonycteris degener;6.5
Lionycteris spurrelli;8.85
Lonchophylla bokermanni;9.74
Lonchophylla dekeyseri;7.2
Lonchophylla mordax;21.56
Lonchophylla peracchii;9.74
Lonchophylla thomasi;07.09
Lonchorhina aurita;15.38
Lonchorhina inusitata;18.6
Lonchothrix emiliae;138.2
Lophostoma brasiliense;9.76
Lophostoma carrikeri;22.35
Lophostoma schulzi;18.02
Lophostoma silvicolum;32.29
Lundomys molitor;238.49
Lutreolina crassicaudata;450
Lycalopex gymnocercus;4690
Lycalopex vetulus;5444
Macrophyllum macrophyllum;08.02
Makalata didelphoides;337.33
Makalata macrura;439
Marmosa constantiae;73
Marmosa demerarae;96
Marmosa lepida;16
Marmosa murina;518
Marmosa paraguayana;363.3
Marmosa regina;68
Marmosops bishopi;20.25
Marmosops caucae;21
Marmosops impavidus;21
Marmosops incanus;59.88
Marmosops neblina;35
Marmosops noctivagus;39.625
Marmosops ocellatus;37
Marmosops parvidens;18
Marmosops paulensis;49.385
Marmosops pinheiroi;24.5
Mazama americana;23000
Mazama bororo;25000
Mazama gouazoubira;16650
Mazama nana;16499.85
Mazama nemorivaga;15000
Mesomys hispidus;175
Mesomys occultus;146.7
Mesomys stimulax;141.5
Mesophylla macconnelli;6.86
Metachirus nudicaudatus;440
Mico acariensis;472
Mico argentatus;357.25
Mico chrysoleucos;343.33
Mico emiliae;350.225
Mico humeralifer;299.605
Mico intermedius;343.2
Mico leucippe;357.25
Mico marcai;357.25
Mico mauesi;443.79
Mico melanurus;357.25
Mico munduruku;435
Mico nigriceps;401.12
Mico rondoni;330
Mico saterei;441.25
Microakodontomys transitorius;11.2
Micronycteris brosseti;4.85
Micronycteris hirsuta;12.89
Micronycteris megalotis;6.4
Micronycteris microtis;6.4
Micronycteris minuta;6.65
Micronycteris sanborni;6.3
Micronycteris schmidtorum;7.73
Micronycteris yatesi;8
Microsciurus flaviventer;92
Mimon bennettii;12.9
Molossops mattogrossensis;7.48
Molossops neglectus;6.91
Molossops temminckii;5.86
Molossus aztecus;14
Molossus coibensis;13.925
Molossus currentium;14
Molossus molossus;13.85
Molossus pretiosus;98
Molossus rufus;25
Monodelphis americana;38
Monodelphis brevicaudata;90
Monodelphis dimidiata;46.28
Monodelphis domestica;100
Monodelphis emiliae;52.33
Monodelphis glirina;94.5
Monodelphis iheringi;112
Monodelphis kunsi;11.8
Monodelphis scalops;73.5
Monodelphis unistriata;55.3
Mustela africana;536.98
Mustela frenata;170.315
Myocastor coypus;7150
Myoprocta acouchy;844.5
Myoprocta pratti;914
Myotis albescens;5.69
Myotis dinellii;8.4
Myotis izecksohni;12
Myotis lavali;8
Myotis levis;5.24
Myotis riparius;6.335
Myotis ruber;4.99
Myotis simus;8.1
Myrmecophaga tridactyla;29531.83
Nasua nasua;4000
Natalus espiritosantensis;6
Neacomys dubosti;14.7
Neacomys minutus;10.4
Neacomys musseri;12.1
Neacomys paracou;14.5
Neacomys spinosus;19
Necromys lasiurus;39.93
Necromys lenguarum;39.93
Necromys urichi;47.42
Nectomys apicalis;237.49
Nectomys rattus;253.15
Nectomys squamipes;237.49
Neonycteris pusilla;6.11
Neusticomys ferreirai;29.5
Neusticomys oyapocki;47
Noctilio albiventris;44
Noctilio leporinus;44
Nyctinomops aurispinosus;18.43
Nyctinomops laticaudatus;13.56
Nyctinomops macrotis;23
Odocoileus virginianus;65320
Oecomys auyantepui;73.4
Oecomys bicolor;40.74
Oecomys catherinae;73.4
Oecomys cleberi;73.4
Oecomys concolor;53.5
Oecomys mamorae;62.5
Oecomys paricola;73.4
Oecomys rex;73.4
Oecomys roberti;73.4
Oecomys rutilus;73.4
Oecomys superans;73.4
Oecomys trinitatis;73.4
Oligoryzomys chacoensis;23
Oligoryzomys delticola;29.39
Oligoryzomys eliurus;34.58
Oligoryzomys flavescens;21.15
Oligoryzomys fornesi;26.65
Oligoryzomys fulvescens;25
Oligoryzomys microtis;26.65
Oligoryzomys moojeni;16.9
Oligoryzomys nigripes;21.49
Oligoryzomys rupestris;13.8
Oligoryzomys stramineus;25
Oxymycterus amazonicus;25.2
Oxymycterus angularis;67.99
Oxymycterus caparoae;66.4
Oxymycterus dasytrichus;83.755
Oxymycterus delator;81.49
Oxymycterus hispidus;82.01
Oxymycterus nasutus;82.01
Oxymycterus quaestor;82.01
Oxymycterus roberti;83.605
Oxymycterus rufus;83.755
Ozotoceros bezoarticus;34620.4
Panthera onca;81150
Pecari tajacu;20500
Peropteryx kappleri;9.85
Peropteryx leucoptera;12.8
Peropteryx macrotis;230.99
Peropteryx pallidoptera;6
Phaenomys ferrugineus;93.8
Philander andersoni;329.995
Philander frenatus;510
Philander mcilhennyi;365.5
Philander opossum;510
Phylloderma stenops;55.82
Phyllomys blainvillii;243.3
Phyllomys brasiliensis;312.49
Phyllomys dasythrix;260
Phyllomys kerri;180
Phyllomys lamarum;215.19
Phyllomys lundi;173.5
Phyllomys mantiqueirensis;207
Phyllomys medius;269.633
Phyllomys nigrispinus;224.3
Phyllomys pattoni;229.9
Phyllomys sulinus;190
Phyllomys thomasi;502.14
Phyllomys unicolor;439
Phyllostomus discolor;40.05
Phyllostomus elongatus;35.6
Phyllostomus hastatus;82.6
Phyllostomus latifolius;134
Pithecia albicans;2800.07
Pithecia cazuzai;2018.11
Pithecia chrysocephala;1900
Pithecia hirsuta;2018.11
Pithecia inusta;2018.11
Pithecia mittermeieri;2018.11
Pithecia monachus;2018.11
Pithecia pissinattii;2018.11
Pithecia pithecia;1480
Pithecia rylandsi;2018.11
Pithecia vanzolinii;2241
Platyrrhinus brachycephalus;14.26
Platyrrhinus fusciventris;13.44
Platyrrhinus incarum;13.44
Platyrrhinus infuscus;50.76
Platyrrhinus lineatus;22
Platyrrhinus recifinus;10.82
Plecturocebus baptista;904.065
Plecturocebus bernhardi;1050
Plecturocebus brunneus;958.13
Plecturocebus caligatus;992.4
Plecturocebus cinerascens;992.4
Plecturocebus cupreus;1.037
Plecturocebus donacophilus;846.335
Plecturocebus dubius;992.4
Plecturocebus grovesi;1050
Plecturocebus hoffmannsi;904.065
Plecturocebus miltoni;1300
Plecturocebus moloch;850
Plecturocebus pallescens;846.335
Plecturocebus parecis;1020
Plecturocebus stephennashi;1050
Plecturocebus toppini;1.037
Plecturocebus vieirai;850
Podoxymys roraimae;33.79
Potos flavus;2.420
Priodontes maximus;45190
Procyon cancrivorus;6270
Proechimys brevicauda;285
Proechimys cuvieri;339.85
Proechimys echinothrix;309.6
Proechimys gardneri;145
Proechimys goeldii;320.745
Proechimys guyannensis;335.265
Proechimys hoplomyoides;320.745
Proechimys kulinae;149.5
Proechimys longicaudatus;280.75
Proechimys pattoni;356.5
Proechimys quadruplicatus;320.745
Proechimys roberti;284.99
Proechimys simonsi;320.745
Proechimys steerei;284.99
Promops centralis;29.8
Promops nasutus;15.5
Pseudoryzomys simplex;45.2
Pteronotus gymnonotus;13.6
Pteronotus personatus;10.995
Pteronotus rubiginosus;19.395
Puma concolor;48000
Pygoderma bilabiatum;18
Reithrodon typicus;75.45
Rhagomys rufescens;21.2
Rhinophylla fischerae;9.55
Rhinophylla pumilio;9.54
Rhipidomys cariri;92.6
Rhipidomys emiliae;87.5
Rhipidomys gardneri;71.1
Rhipidomys ipukensis;89.495
Rhipidomys itoan;77
Rhipidomys leucodactylus;80
Rhipidomys macconnelli;41.59
Rhipidomys macrurus;87.5
Rhipidomys mastacalis;87.5
Rhipidomys nitela;89.495
Rhipidomys tribei;50
Rhipidomys wetzeli;57.5
Rhogeessa hussoni;5.8
Rhogeessa io;4.475
Rhynchonycteris naso;4.14
Saccopteryx bilineata;7.9
Saccopteryx canescens;3.41
Saccopteryx gymnura;6.11
Saccopteryx leptura;4.72
Saguinus bicolor;465
Saguinus imperator;482.15
Saguinus inustus;803
Saguinus labiatus;501.33
Saguinus martinsi;465
Saguinus midas;547.18
Saguinus mystax;543.5
Saguinus niger;547.18
Saguinus ursulus;547.18
Saimiri boliviensis;799.725
Saimiri cassiquiarensis;836.7
Saimiri collinsi;836.7
Saimiri sciureus;836.7
Saimiri ustus;886.47
Saimiri vanzolinii;799.45
Sapajus apella;2642.5
Sapajus cay;2725
Sapajus flavius;2500
Sapajus libidinosus;2642.5
Sapajus nigritus;2642.5
Sapajus robustus;3200
Sapajus xanthosternos;2642.5
Scapteromys tumidus;146
Sciurillus pusillus;36.955
Sciurus aestuans;177.34
Sciurus gilvigularis;490.17
Sciurus ignitus;190
Sciurus igniventris;700
Sciurus spadiceus;403.32
Scleronycteris ega;49.54
Scolomys ucayalensis;26.5
Sigmodon alstoni;55.7
Sooretamys angouya;120.17
Speothos venaticus;6000
Sphaeronycteris toxophyllum;16.53
Sturnira lilium;20
Sturnira magna;43.1
Sturnira tildae;22.445
Sylvilagus brasiliensis;968.37
Sylvilagus tapetillus;968.37
Tadarida brasiliensis;12.5
Tamandua tetradactyla;4500
Tapirus terrestris;225000
Tayassu pecari;31798.71
Thalpomys cerradensis;23.99
Thalpomys lasiotis;23.99
Thaptomys nigrita;19.9
Thrichomys apereoides;348.25
Thrichomys inermis;348.25
Thrichomys laurentius;404.3
Thrichomys pachyurus;373.5
Thylamys karimii;24.88
Thylamys macrurus;37.415
Thylamys velutinus;22.345
Thyroptera devivoi;5
Thyroptera discifera;3.13
Thyroptera lavali;5.6
Thyroptera tricolor;4.52
Thyroptera wynneae;3.8
Tolypeutes matacus;1225
Tolypeutes tricinctus;1465.72
Tonatia bidens;27.55
Tonatia saurophila;27.55
Toromys grandis;584
Trachops cirrhosus;36.9
Trinomys albispinus;284.99
Trinomys dimidiatus;167.6
Trinomys eliasi;200
Trinomys gratiosus;203.498
Trinomys iheringi;220.39
Trinomys mirapitanga;242.2
Trinomys moojeni;207
Trinomys paratus;178.9
Trinomys setosus;284.99
Trinomys yonenagae;200.2
Trinycteris nicefori;8.25
Uroderma bilobatum;16.24
Uroderma magnirostrum;17.3
Vampyressa pusilla;8.785
Vampyressa thyone;8.77
Vampyriscus bidens;11.91
Vampyriscus brocki;48
Vampyrodes caraccioli;35.89
Vampyrum spectrum;171.61
Wiedomys cerradensis;51.9
Wiedomys pyrrhorhinos;46.85
Wilfredomys oenax;46.8
Xeronycteris vieirai;13.3
Zygodontomys brevicauda;55.11
