"Ecosystem_service","Variable","Degrees_of_freedom","F_statistic","P_value","Adjusted_R_Squared","Deviance_Explained"
"rodent_control","Isolation (Min.)",7.11709339261514,3.90044297597688,0.000190016577505114,0.0680243833399699,8847.12664258398
"rodent_control","Mean Distance to midpoint",2.7772232401084,7.05350197178761,5.15588071265949e-05,0.0608639674552102,9020.55657527953
"rodent_control","Minimum 10% Zero Distance",4.4891459048254,12.4135185366695,0,0.152801064130519,8099.95894285597
"rodent_control","Minimum Zero Distance",1.36197116095818,112.449915651257,0,0.322760412086605,6529.79770047827
"rodent_control","Weighted Mean Distance to midpoint",3.70236183156288,239.851871474024,0,0.748338340324661,2411.22764580058
"disease_sentinelling","Distance to MCP border",2.32810058625571,53.3430676466358,0,0.290224918489677,104500.306540139
"disease_sentinelling","Frequency",3.92040498342002,66.6676467068314,0,0.463142843006909,78702.9436935194
"disease_sentinelling","Frequency Weighted Distance",3.98352630956178,497.653815048362,0,0.868306104495043,19302.9547795769
"disease_sentinelling","Isolation (1st Qu.)",3.82268498857891,6.66512072383626,1.86185866970501e-05,0.0742168944676072,135755.096015436
"disease_sentinelling","Isolation (3rd Qu.)",4.93023707940249,23.33093834764,0,0.271101675200642,106564.489062486
"disease_sentinelling","Isolation (Max.)",5.99971145475224,45.3776008571128,0,0.464851936108039,78011.6038625057
"disease_sentinelling","Isolation (Mean)",4.69626800110305,27.1338592368162,0,0.291812219719784,103602.256410338
"disease_sentinelling","Isolation (Median)",3.69445977788445,21.2860670831361,0,0.206809812824466,116352.208596951
"disease_sentinelling","Isolation (Min.)",4.97186104160357,2.95826994284344,0.00872493961877085,0.0391973997676306,140452.910055001
"disease_sentinelling","Mean Distance to midpoint",1.00000000069273,9.11643926417747,0.00270747669790233,0.0212407487495749,144617.816768228
"disease_sentinelling","Minimum 10% Zero Distance",3.11648598810544,11.1776617395009,0,0.10364536468423,131690.512206523
"disease_sentinelling","Minimum Zero Distance",2.32810058625571,53.3430676466358,0,0.290224918489677,104500.306540139
"disease_sentinelling","Weighted Mean Distance to midpoint",4.25813464265264,237.158544201871,0,0.770234605196584,33652.7327572594
"total","Distance to MCP border",1.94538179277806,55.0986346138677,0,0.261641334809989,9081438.13258922
"total","Frequency",3.43501323061306,82.6740162200617,0,0.485045963150125,6308315.44785282
"total","Frequency Weighted Distance",3.97320921011109,309.329069246688,0,0.803516527916563,2403475.75792156
"total","Isolation (1st Qu.)",3.90209517084724,8.90227136640937,7.20353693639542e-07,0.100439338684138,11005952.5096433
"total","Isolation (3rd Qu.)",5.33287243707785,23.8711540360348,0,0.291044337862937,8640403.88556274
"total","Isolation (Max.)",6.5322874408299,42.5752549801645,0,0.465763048575719,6489835.10576821
"total","Isolation (Mean)",5.39540879333239,25.4079457679566,0,0.302452440739086,8499925.45107348
"total","Isolation (Median)",3.9322214764447,22.2767328466421,0,0.225028213126463,9480859.66451992
"total","Isolation (Min.)",4.36440182107501,2.47201016158364,0.0320932858464044,0.0279318553262434,11878211.5015124
"total","Mean Distance to midpoint",1.00000000040006,3.87410405103505,0.0497765032601903,0.00762616487645051,12236710.6253744
"total","Minimum 10% Zero Distance",2.75585587767518,8.82445049809313,4.99559700767316e-06,0.0755169631566895,11345904.1859639
"total","Minimum Zero Distance",1.94538179277806,55.0986346138677,0,0.261641334809989,9081438.13258922
"total","Weighted Mean Distance to midpoint",3.78157222986334,167.666286819095,0,0.679485816355311,3922706.70795982
